timestep,P-1,P-2,P-3,P-4
1,0.1,0.11,0.11,0.04
2,0.11,0.11,0.11,0.03
3,0.09,0.11,0.11,0.04
4,0.12,0.11,0.11,0.05
5,0.1,0.11,0.11,0.05
6,0.11,0.11,0.11,0.05
7,0.11,0.11,0.11,0.05
8,0.11,0.11,0.11,0.03
9,0.12,0.11,0.11,0.04
10,0.12,0.11,0.11,0.05
11,0.12,0.11,0.11,0.03
12,0.1,0.11,0.11,0.03
13,0.11,0.11,0.11,0.04
14,0.11,0.11,0.11,0.04
15,0.1,0.11,0.11,0.05
16,0.1,0.11,0.11,0.03
17,0.1,0.11,0.11,0.04
18,0.11,0.11,0.11,0.05
19,0.1,0.11,0.11,0.04
20,0.12,0.11,0.11,0.04
21,0.11,0.11,0.11,0.05
22,0.11,0.11,0.11,0.04
23,0.12,0.11,0.11,0.04
24,0.12,0.11,0.11,0.04
25,0.12,0.11,0.11,0.04
26,0.11,0.11,0.12,0.05
27,0.11,0.11,0.11,0.04
28,0.11,0.11,0.11,0.05
29,0.1,0.11,0.11,0.05
30,0.1,0.11,0.11,0.05
31,0.1,0.11,0.11,0.04
32,0.1,0.11,0.11,0.05
33,0.11,0.11,0.11,0.04
34,0.1,0.11,0.11,0.04
35,0.1,0.11,0.11,0.03
36,0.12,0.11,0.12,0.05
37,0.11,0.11,0.11,0.05
38,0.11,0.11,0.11,0.05
39,0.1,0.11,0.12,0.04
40,0.11,0.11,0.11,0.05
41,0.11,0.11,0.11,0.05
42,0.12,0.11,0.12,0.05
43,0.11,0.11,0.11,0.05
44,0.12,0.11,0.12,0.05
45,0.1,0.11,0.12,0.03
46,0.1,0.11,0.11,0.03
47,0.11,0.11,0.12,0.04
48,0.12,0.11,0.12,0.03
49,0.1,0.11,0.12,0.03
50,0.11,0.11,0.12,0.04
51,0.11,0.11,0.12,0.03
52,0.12,0.11,0.12,0.03
53,0.1,0.11,0.12,0.04
54,0.11,0.11,0.12,0.04
55,0.12,0.11,0.12,0.05
56,0.12,0.11,0.12,0.05
57,0.11,0.11,0.12,0.04
58,0.12,0.11,0.12,0.04
59,0.11,0.11,0.11,0.04
60,0.11,0.11,0.12,0.05
61,0.12,0.11,0.12,0.04
62,0.11,0.11,0.12,0.04
63,0.09,0.11,0.12,0.04
64,0.09,0.11,0.12,0.05
65,0.11,0.11,0.12,0.04
66,0.11,0.11,0.12,0.05
67,0.12,0.11,0.12,0.05
68,0.1,0.11,0.12,0.04
69,0.11,0.11,0.12,0.04
70,0.1,0.11,0.12,0.04
71,0.1,0.11,0.12,0.05
72,0.11,0.11,0.12,0.05
73,0.1,0.11,0.12,0.04
74,0.1,0.11,0.12,0.04
75,0.1,0.11,0.12,0.05
76,0.11,0.11,0.12,0.03
77,0.11,0.11,0.12,0.04
78,0.12,0.11,0.12,0.03
79,0.11,0.11,0.12,0.03
80,0.1,0.1,0.11,0.04
81,0.1,0.1,0.11,0.03
82,0.09,0.1,0.11,0.02
83,0.11,0.1,0.11,0.01
84,0.11,0.1,0.11,0.02
85,0.09,0.1,0.11,0.02
86,0.11,0.1,0.11,0.02
87,0.1,0.1,0.11,0.02
88,0.09,0.1,0.11,0.01
89,0.1,0.1,0.11,0
90,0.09,0.1,0.11,0.01
91,0.11,0.1,0.11,0.01
92,0.08,0.1,0.11,0.01
93,0.09,0.1,0.11,0.01
94,0.1,0.1,0.11,0.02
95,0.11,0.1,0.11,0.01
96,0.09,0.1,0.11,0.02
97,0.11,0.1,0.11,0.01
98,0.09,0.1,0.11,0.02
99,0.1,0.1,0.11,0.01
100,0.1,0.1,0.11,0.02
101,0.1,0.1,0.11,0.02
102,0.1,0.1,0.11,0.01
103,0.11,0.1,0.11,0.01
104,0.1,0.1,0.11,0.01
105,0.09,0.1,0.11,0.02
106,0.11,0.1,0.11,0.01
107,0.11,0.1,0.11,0.02
108,0.09,0.1,0.11,0.02
109,0.11,0.1,0.11,0.02
110,0.1,0.1,0.11,0.02
111,0.09,0.1,0.11,0.01
112,0.1,0.1,0.11,0
113,0.09,0.1,0.11,0.01
114,0.11,0.1,0.11,0.01
115,0.08,0.1,0.11,0.01
116,0.09,0.1,0.11,0.01
117,0.1,0.1,0.11,0.02
118,0.11,0.1,0.11,0.01
119,0.09,0.1,0.11,0.02
120,0.11,0.1,0.11,0.01
121,0.09,0.1,0.11,0.02
122,0.1,0.1,0.11,0.01
123,0.1,0.1,0.11,0.02
124,0.1,0.1,0.11,0.02
125,0.1,0.1,0.11,0.01
126,0.11,0.1,0.11,0.01
127,0.1,0.1,0.11,0.01
128,0.09,0.1,0.11,0.02
129,0.11,0.1,0.11,0.01
130,0.11,0.1,0.11,0.02
131,0.09,0.1,0.11,0.02
132,0.11,0.1,0.11,0.02
133,0.1,0.1,0.11,0.02
134,0.09,0.1,0.11,0.01
135,0.1,0.1,0.11,0
136,0.09,0.1,0.11,0.01
137,0.11,0.1,0.11,0.01
138,0.08,0.1,0.11,0.01
139,0.09,0.1,0.11,0.01
140,0.1,0.1,0.11,0.02
141,0.11,0.1,0.11,0.01
142,0.09,0.1,0.11,0.02
143,0.11,0.1,0.11,0.01
144,0.09,0.1,0.11,0.02
145,0.1,0.1,0.11,0.01
146,0.1,0.1,0.11,0.02
147,0.1,0.1,0.11,0.02
148,0.1,0.1,0.11,0.01
149,0.11,0.1,0.11,0.01
150,0.1,0.1,0.11,0.01
151,0.09,0.1,0.11,0.02
152,0.11,0.1,0.11,0.01
153,0.11,0.1,0.11,0.02
154,0.09,0.1,0.11,0.02
